gene,SRR27614996,SRR27614997,SRR27614998,SRR27614999,SRR27615000,SRR27615001,SRR27615002,SRR27615007,SRR27615008,SRR27615009,SRR27615010,SRR27615011
1700018B08Rik,0,0,8,0,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,1,0,12,2,0,0,3,0,0,1,2,5
1700019A02Rik,0,0,0,0,0,0,0,1,0,0,3,8
1700019C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019E08Rik,0,0,0,0,0,0,0,0,0,5,0,0
1700019F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019J19Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020L13Rik,7,1,4,1,2,0,3,3,6,4,0,0
1700020L24Rik,2,4,17,7,2,4,5,4,2,11,4,5
1700020M21Rik,4,0,0,0,0,0,0,0,0,0,0,0
1700020N01Rik,2,0,1,0,7,0,0,0,0,5,2,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,3,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022N22Rik,35,8,17,2,6,10,8,15,8,13,18,16
1700023A20Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023D09Rik,16,12,14,10,17,19,13,23,15,20,10,10
1700023F02Rik,5,0,0,0,0,0,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700024B05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,308,238,274,219,141,233,238,178,239,391,350,378
1700025H01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,5,5,7,0,1,4,1,3,9,6,1,3
1700025O08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,3,1,0,0,2,0,0,0,2,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028E10Rik,20,18,20,12,1,13,7,18,19,19,23,20
1700028I16Rik,0,0,3,0,0,0,0,1,0,2,2,0
1700028J19Rik,9,3,20,4,4,5,25,8,4,20,8,12
1700028K03Rik,0,0,0,0,0,0,1,0,0,0,0,0
1700028M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029H14Rik,4,1,1,1,1,6,0,0,0,4,3,4
1700029J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0,0,2,4,0
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030C10Rik,6,12,5,1,3,1,1,3,0,3,5,1
1700030C12Rik,1,0,3,0,0,3,0,0,1,0,0,0
1700030C14Rik,0,0,0,0,2,0,1,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030J22Rik,40,39,45,34,34,35,22,30,23,26,43,48
1700030K09Rik,245,147,211,112,78,138,107,93,146,232,203,277
1700030L20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034H15Rik,19,20,24,16,8,33,13,7,5,18,11,10
1700034J05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,2,2,4,2,3,6,2,11,2,4,4,18
1700036A12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,21,40,38,16,16,26,19,29,32,38,20,30
1700037F03Rik,2,5,6,3,0,2,0,4,1,2,0,2
1700039E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700039M10Rik,0,9,0,0,1,3,6,3,2,3,1,1
1700039O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040D17Rik,0,0,0,1,0,0,0,0,0,1,0,0
1700040F15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040P09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041A01Rik,3,0,0,0,0,0,0,0,0,0,0,0
1700041B01Rik,12,0,0,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041G16Rik,6,8,11,9,4,17,10,1,1,22,3,21
1700041I07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,1,0,0,0,0,3,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0,0,0,3,0,0
1700047E10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700047G03Rik,0,0,1,0,0,0,0,0,3,0,0,0
1700047L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048B10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048O14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700048O20Rik,0,0,3,0,5,0,0,0,0,0,0,0
1700049E15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049J03Rik,0,2,3,0,0,2,2,0,2,1,3,0
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051K13Rik,0,0,0,0,0,0,0,2,0,3,0,0
1700052H01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700052K11Rik,82,38,91,55,27,33,61,52,41,41,60,75
1700054A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054O19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055D16Rik,3,2,11,7,7,5,2,2,5,11,2,12
1700055D18Rik,36,30,19,19,8,12,14,14,15,21,19,20
1700055K11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055L01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700056E22Rik,4,2,1,0,4,6,2,0,9,0,10,2
1700057H15Rik,0,4,0,0,0,0,0,0,0,0,5,0
1700057H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060J05Rik,1,0,0,0,0,0,0,0,0,0,2,0
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700062C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,6,0,0,0,0,0,0,0,0,0,0,0
1700065D16Rik,0,0,1,0,0,0,0,0,0,0,0,1
1700065I16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066M21Rik,268,227,274,126,108,166,174,175,217,249,225,205
1700066N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067K01Rik,23,14,47,7,13,11,6,17,8,1,11,4
1700067P10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,1,0,0,2,0,1,2,0,0,1,0
1700071M16Rik,6,0,0,0,1,0,0,1,4,3,0,0
1700072B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,3,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700082M22Rik,9,0,7,0,4,6,4,2,0,2,2,0
1700083H02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084E18Rik,10,1,8,2,6,3,1,1,2,5,7,0
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086O06Rik,27,31,49,13,23,18,13,18,42,39,44,54
1700086P04Rik,13,7,5,13,15,8,12,1,2,3,6,18
1700087M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700088E04Rik,7,1,10,10,12,2,9,5,2,9,3,10
1700091H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700091J24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700093K21Rik,0,4,4,1,0,4,6,2,2,8,1,3
1700094J05Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700094M23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0,0,0,2,0
1700095A13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700095J12Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700095K22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700096K18Rik,45,6,43,18,18,4,22,20,20,33,22,36
1700096P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700097N02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700099I09Rik,103,89,94,44,25,50,40,32,57,100,76,121
1700100I10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700101I11Rik,10,1,8,0,6,1,3,7,4,5,3,2
1700101O22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700102H20Rik,0,0,2,0,9,0,0,0,0,0,0,3
1700102J08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700102P08Rik,22,7,18,16,9,5,18,9,23,6,8,33
1700104B16Rik,4,0,0,0,3,0,0,0,0,0,0,0
1700104L18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700105F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700105P06Rik,0,0,0,1,7,0,0,0,0,3,3,0
