gene,WT-1_S1,WT-2_S2,WT-3_S3,WT-AC-1_S4,WT-AC-2_S5,WT-AC-3_S6
Adam9,11905,8260,17674,12877,22424.5,15747.5
Adamdec1,0,0,1,1,1,0
Adamts1,1,2,0,4,4,8
Adamts10,4197.5,4360.5,12525,4124.5,4104.5,3923
Adamts12,5,8,4,4,11,13
Adamts13,1.5,2,4.5,3.5,9,15.5
Adamts14,58.5,35,48,25.5,34.5,41
Adamts15,2,1.5,0.5,2,2,1.5
Adamts16,3,0,0,1,4,1
Adamts17,7.5,6,12,14.5,16,10.5
Adamts18,3,3,1,5,1,3
Adamts19,5,3,1,3,6,2
Adamts2,40.5,24,22.5,24,23,54
Adamts20,0.5,2,3.5,0.5,5,1.5
Adamts3,14.33,11.5,28.83,20,37,20.5
Adamts4,4,1,5,14,263.5,7.5
Adamts5,0,1,1,3,1,2.5
Adamts6,211.5,180,203.5,199.5,543,270.5
Adamts7,14,13.5,24,18,16,44
Adamts8,2,0,3,1,12,1
Adamts9,1,4,4.5,5.5,16.5,19.5
Adamtsl1,9,16,13.5,17,32,11
Adamtsl2,3.5,1.33,0,1,0.5,2
Adamtsl3,3,1,1.5,3,14,3
Adamtsl4,1531.5,1154,2049.5,1335.5,1679.5,1227
Adamtsl5,1929.5,1936,2355.5,1369.5,1629.5,3909.5
Adap1,13368,11046.5,11581.67,9275.83,5748.83,9895.83
Adap2,2950.33,2340.33,6395.83,3208.33,7578,4963.83
Adap2os,455.33,413.33,1297.83,627.83,1875,1291.83
Adar,7059.5,6429,7432,7528,7832.5,9274.5
Adarb1,2095,1999.5,1282.5,1376.5,2135,5010
Adarb2,12.5,3,6.5,8.5,14,5
Adat1,290,261,349,225,366,374
Adat2,319,282.5,358.5,210,149.5,238.5
Adat3,322.33,198,359,230.5,351,296
Adck1,1036.5,801.5,967.83,797,648.5,716
Adck2,1491,1370,1693.33,929.5,914,1022
Adck5,404.5,432.5,608.5,378,427,501
Adcy1,3,2,7,0,1,0
Adcy10,5,1,3,2.5,7.5,2
Adcy2,6,3,1,7,4,2.5
Adcy3,173,124.5,185,123.5,90.5,180.33
Adcy4,988,774,513.5,741,419,895
Adcy5,26.5,13.5,27,13,38,37
Adcy6,409.5,504.5,300.5,290,188,843
Adcy7,12891.5,11537.5,21003,19596.5,17116.5,20189.5
Adcy8,3,0,4,3,1,2
Adcy9,1352.5,1246,1757.5,1656.5,1125,1390.5
Adcyap1,0,0,0.5,0,0,0
Adcyap1r1,24,18,9,3,6,11
Add1,16169.5,14538,17611.5,12207.5,10404.5,14094
Add2,1,0,1,0,3,0
Add3,67396,63115.5,72291,48819,34493,44164.5
Adgb,2299.5,3179,2684.5,2312,3384,11313
Adgra1,9,4,4,1,3,3.5
Adgra2,347.5,292.33,1480.33,324.83,689.5,234.33
Adgra3,500,461,316,287,257,517
Adgrb1,5,1,2,10,8,2
Adgrb2,7,1.33,7,7,7,8.5
Adgrb3,13,8,8,5,15,5
Adgrd1,335.5,278,283,332,347,343
Adgrd2-ps,0,2,0,0.2,2.2,0
Adgre1,94421,85297.5,85836,79382.5,73271,133799.5
Adgre4,8494.5,9068,12022,10931,9971.5,12463.5
Adgre5,61063.15,52408.32,78375.98,57483.65,44640.82,50889.99
Adgrf1,13,19,18.5,15,12,30
Adgrf2,5,4.5,4,18,10,12
Adgrf3,3,1,3,0,2,0
Adgrf4,2,2.5,2.5,4.5,1.5,3.5
Adgrf5,180.5,209,110.5,160.5,111,376.5
Adgrg1,22.5,11,76.5,16,58.5,14
Adgrg2,2,0,1,1.5,6,1.5
Adgrg3,9.5,6,24,12,53,14
Adgrg4,1,1,0,3,0,1
Adgrg5,243,239,253,117,87,103
Adgrg6,3114,2809.5,3869,3208.5,2997.33,4084
Adgrg7,26,22,25,35,30,32
Adgrl1,315,287.5,280.33,242,334,605.33
Adgrl2,134.5,96,155,86,168.5,84
Adgrl3,13,19,15,14,38,26
Adgrl4,64,83,165,183,158,134
Adgrv1,14.67,14.83,32.5,18.83,26,16
Adh1,2,1,3,1,0,1
Adh4,1,0,0,0,0,1
Adh5,4477,3559,4452,3617,3504,3626
Adh6-ps1,0,0,0,1,0,0
Adh6a,0,1,0,0,0,0
Adh6b,0,0,0,0,0,0
Adh7,0,0,0,0,1,0
Adhfe1,382.17,375.67,343.83,327.83,317,479.58
Adi1,692.5,703.5,731.5,596,466.5,718
Adig,1,0,1,1,3,4
Adipoq,1,2,5.5,2,4,4
Adipor1,11931,11416.5,12413,11334.5,9398,11007
Adipor2,20385,20801.83,21099,14849,10208.5,16499
Adissp,5460,3749.5,4821.5,3570.5,2930,3368
Adk,2284.5,2063.5,2502,1655.5,1748.5,2468
Adm,13.5,8.5,6.5,34.5,186,44.5
Adm2,2,0,0,0,0,0
Adnp,2487.17,2314.5,3034,2576.83,3048.67,3194.83
Adnp2,2160,1738,2276.5,2090,2602,2667.5
Ado,2321.5,1941.33,2384,2870,2207,2440.5
Adora1,1.5,1,0,0,4,0
Adora2a,1679,1200,1538,5239,10932,4439
Adora2b,2299,1484,2451,11446,13664,7340
Adora3,97,74.5,118,71,154,134.5
Adpgk,1751,1283.83,2074.5,1631,2375,1889.5
Adprh,10067.5,7874,10810.5,8547,8582.5,7991
Adprhl1,2,2.5,0.5,1.5,3,0
Adprm,764,727,944.5,601.5,1035.5,754.5
Adprs,1950,1362,1992,1384.5,1812.5,1877
Adra1a,2,2,3,4,8.5,4
Adra1b,3,1,2,4.5,2,2.5
Adra1d,0,0,0,0.5,1.5,0.5
Adra2a,27,20,11,3,12,8
Adra2b,0,0,1,0,3,0
Adra2c,0,0,0,0,0,1
Adrb1,45,85,30,13,21,19
Adrb2,2895,2292,3058,929,1627,543
Adrb3,0,0,0,0,0,0
Adrm1,2993.67,1939.67,2952.33,3008.67,3679.33,3062.67
Adsl,2427,1742.5,2379.5,1652,2107,1982
Adss1,11334,8125,10905,10256.5,8971.5,8209
Adss2,8706.5,8649,8885,6428,7023.5,7335.5
Adtrp,3,0,6,6,6,2
Aebp1,40,36.5,34,56,57.5,40.5
Aebp2,4462.5,3810,4695,5781,10262,6165.5
Aen,1124,820.5,1206,1298,2241,2127
Afap1,308,273,361.5,289,405,368.5
Afap1l1,1299,1696,1035,1093.5,638,1775.5
Afap1l2,4.5,1,1,2,8.5,0
Afdn,3779,3735.5,3775,2718.5,2604.5,4654
Aff1,4234.5,3399.5,4724.5,12825.5,23669.33,14436.5
Aff2,7.5,3.5,6,11,15,6.5
Aff3,883.83,743.5,413,775,713,767
Aff4,3835,3549,5017,9548.83,12883.5,14531
Afg1l,549.5,485,527,325,372.5,416
Afg2a,1141.33,869,1028.5,638.5,1295.5,923.83
Afg2b,1186,814,1146,1320,2553,1718
Afg3l1,5428,3995,5706.33,4150,4356.5,4053.5
Afg3l2,6093,4480,7930.5,4934,4792.5,5291
Afm,43,28,24.5,39,58,39
Afmid,376.5,325.5,569.5,271,363.33,478.5
Afp,9,10,5,13,11,29
Aftph,5807,5505,6334,4706.5,5610.5,5526
Aga,1427,1160,1518,1160,1212,1413
Agap1,1838,1487.5,1986.5,1321,1582,1670.5
Agap2,986.5,766,909,785.5,694.5,564.5
Agap3,6500.5,5149,7296.5,6372.5,5795.5,5871.5
Agbl1,146.5,133,28.5,84.5,82.5,57.5
Agbl2,5,9,9,11.5,7,25.33
Agbl3,117.33,111.5,147.5,71.5,87.5,122.25
Agbl4,52.5,46,40.33,45,49.5,30.5
Agbl5,759,694.33,853.33,690.33,803,916.33
Ager,57.5,79,151,52.5,91,65.5
Agfg1,5737,4413,6692,4883,7558.5,6781
Agfg2,3011.33,2295,3015.33,1814,1053,1784
Aggf1,5629,4791,5827.5,5011,5243,5357
Agk,473.5,386,436,329.5,319.5,369.5
Agl,2198,2024,3248.5,2337,1981.5,2526
Agmat,1,1,1,4,1,0
Agmo,1293.5,1613.5,1350,1269.5,1057.5,1956
Ago1,4438,3810.5,5723.5,4011,4115,4045
Ago2,6941,5875,7814,11529.5,17026,16661
Ago3,1575,1382,2236.5,1967.5,4536.5,3261
Ago4,1137,1302,1563.5,1099,875,1075.5
Agpat1,5470,4173.5,5514.5,4985.83,6011.83,5107.5
Agpat2,1100,988,1163,894,833,864
Agpat3,2343.5,2259,2172.5,1916.5,1546,2999.5
Agpat4,4696.5,3373,5258,6761,10724,8172.83
Agpat5,2226,1571,2240,2187,2905,2149
Agps,6564,5398,8295,6742,7496.5,8856
Agr2,1,0,0,0,0,0
Agr3,0,1,0,0,2,1
Agrn,1835.5,1951,1830,2178.5,2572,3813.5
Agrp,17,17.33,15.5,5,9.5,12.5
Agt,1,0,0.5,0,0,0
Agtpbp1,2398,1951,2780,2496,4477,3858
Agtr1a,0,1,0,0,3,0
Agtr1b,1,0,0,0,0,0
Agtr2,1,0,0,0,0,0
Agtrap,21999,15964.5,23379.5,15703,12306,11799
Agxt,0,0,0,0,0,0
Agxt2,0,1,0,2,2,0
Ahctf1,5679.5,4475,6090.5,5404,7630.5,8635.5
Ahcy,1135,838,1076.5,789.5,853.5,899
Ahcyl,6,0,4,6,5,3
Ahcyl1,5168.5,4344,6128.5,5411,6731.5,6110.5
Ahcyl2,10480,10301.5,10318,9802,8584.5,8944
Ahdc1,1167.5,923,1373,596.5,575.5,638
Ahi1,329,265,275,319,508.5,478
Ahnak,128504.5,131535,123934.5,99700.5,161975.83,168777.33
Ahnak2,369,163,275,215,870.5,598
Ahr,500,299,638,3415,2650,4526
Ahrr,141,136.33,176.33,61.33,60,110.67
Ahsa1,7635.5,5384.5,6436.5,4905.5,5385,4413.83
Ahsa2,2015.5,1581.5,2053.5,2035,2694.5,2211
Ahsg,0,0,0,0,1.33,0
Ahsp,0,1,0,0,0,0
Aicda,100,75,81,73,118,131
Aida,4811,4450,4612.5,3837,3524,4058
Aif1,3063,2318.5,2511.5,2999,2745.5,1387
Aif1l,25,14,11,7,9,18
Aifm1,2916,2114,2831,2120,2312,2451
Aifm2,6349.5,4500.83,7932.5,4316.5,3531,4689.5
Aifm3,2,1.5,0,3,1,4
Aig1,444.5,282.5,331,499,649,571.5
Aim2,2635,2645,3841.5,2196.5,1993.5,2793.5
Aimp1,3115,2730,2753,2397.5,2286,2338.5
Aimp2,1589,1174,1335,1008,1070.5,1329
Aip,7439,6114.33,7103.33,5712.5,5067.5,5011.5
Aipl1,63.5,58.5,76,51.5,38,100
Aire,1,0.5,0,1,4,2
Airim,653,599,973,596,781,843
Airn,161.17,125.67,269.33,246.33,706,874.83
Ajap1,1,0,1,2,2,0
Ajm1,0,5.5,4.33,6,6,2.5
Ajuba,373,284,457.5,52,47.5,53
Ak1,59,20,215,36,37,22
Ak2,8337,4824.5,7496.5,6533,7111.5,4074
Ak3,3021.17,2731.17,3372.67,2889.33,2896.67,3312.83
Ak4,62,32,85,104,357,139
Ak5,26,22,48.5,7.5,22.5,15
Ak6,1619.5,1269.5,1681,1572,1968.5,1808.5
Ak7,13,5.5,15,17,20.5,22
Ak8,1620.83,1494.5,1810,1337.5,924.5,1300.5
Ak9,12.5,10,12,8.5,10,10
Akain1,1,0,0,0,2,2
Akap1,1324,1051,1334.75,885,920.5,1325.25
Akap10,4376,3973,5469,2639,2724,3436
Akap11,1758,1622.5,2016,1901,2401,2724
Akap12,22.83,21.5,23.5,23,70.5,45
Akap13,30823,27491,36207,22719,27187,32689
Akap14,6,5,8.5,4.5,14,9
Akap17a,7999,6154.5,6460,7212.5,7800.83,7328
Akap17b,312,236,243,162,162,138
Akap3,0,0,0,4,2,0
Akap4,0,0,0,1,1,1
Akap5,24,26,24,37,34,40
Akap6,12.5,8,13,8,19,12
Akap7,1769,1599,1920.5,1372,1153.5,2192
Akap8,4549,4154,6560,3991,5426,5475
Akap8l,2121,2033,3602,2165,2402.5,2928
Akap9,2435.5,2059,2497,2769,2947,2979
Akip1,710,517,609,407,405,347.5
Akirin1,3949,3154,4616.5,5354,6194,5157.5
Akirin2,4535.5,3926.5,4591,3344,3006,2754
Akna,8782,7086.83,11224.67,5757,12372.83,5137
Aknad1,1,0,0,1,3,0
Aknaos,1485,1215,2095.17,1027,2191.83,938
Akp3,0,0,0,1,1,0
Akr1a1,38451,31628,37189,31589,30783.5,29410.5
Akr1b1,4491,3797,4616,3738.5,3297,3490.5
Akr1b10,1484.5,1269,1486.67,1043.33,830.83,1091.33
Akr1b7,4.5,5,1,1,2,2
Akr1b8,99,47.5,274.17,130.83,192.33,121.33
Akr1c12,99,104,78,88,73,92
Akr1c13,1566,1490,1371,1002,814,1045
Akr1c14,0,1,0,1,1,1
Akr1c18,214,289,215,346,229,241
Akr1c19,0,0,0,1,0,0
Akr1c20,0,0,0,0,1,0
Akr1c21,5,3,5,6,1,7
Akr1c6,0,0,0,0,4,0
Akr1cl,7,0,1,9,1.5,5
Akr1d1,0,2.5,2.5,2,2,1
Akr1e1,1146,902,1104.5,763,734,909
Akr7a5,1562,1095,1538,903.5,806,730
Akt1,33457.5,27331.5,37050,28881.5,26527.5,24866.5
Akt1s1,3120,2435.5,3198.5,2108,2275,2438.5
Akt2,8948,6849,9222,8003.5,8195,7648.5
Akt3,4338.5,4779.5,5991,6217.5,5836.5,6381
Aktip,2187.5,2115,2414.83,1625,1499.5,1531.5
Alad,612,410,513,388,425,398
Alas1,3725,2557.5,4035.5,4523.5,8024,4810.5
Alas2,22.5,20.5,52,17,73.5,22
Alb,10,3,6,1,1,0
Albfm1,0,0,0,0,2.33,0.5
Alcam,9715.5,9375,11048.5,10327.5,13821,14239
Aldh16a1,4916.33,3705.5,5311,4200.5,3932.33,4115.5
Aldh18a1,1295.5,758.5,1067,862.33,847.25,1040.5
Aldh1a1,2,2,0,2.5,6.5,4.33
Aldh1a2,6341,5412.5,3399,4657,2937.5,4344
Aldh1a3,16,28,39,13,6,16
Aldh1a7,0,0,0,1,1,0
Aldh1b1,737,542,696,369,230,279
Aldh1l1,666,674.5,459,574.5,389,791
Aldh1l2,18,24.5,13,18,22,25
Aldh2,62217,65140.5,60391.33,59239.5,44072,74941
Aldh3a1,1,1,1,1,1,0
Aldh3a2,4965,4195,5757,4072,3687,4293
Aldh3b1,9036.5,6641.67,10209.33,6697.5,5957,5386.17
Aldh3b2,4.5,0,1.5,1.5,2,5
Aldh3b3,4,0,6,4,7,6
Aldh4a1,1129,1027,1285,819.5,739,838.5
Aldh5a1,74.5,77,90,58,59.5,90
Aldh6a1,401.5,387,509,395.5,361.5,544
Aldh7a1,1459,1334,1581.5,1256.5,1069,1572
Aldh8a1,2,1,0,4,0,1
Aldh9a1,8278,5642.5,9054,8724.5,8661,7040
Aldoa,24670.25,15876.5,26581.5,18552,17422.5,19716.17
Aldoart1,6,2,4,21,9,16
Aldoart2,4,0,3,57,39,31
Aldob,1,1,1,1,0.5,0.5
Aldoc,349,205,344,266,246,239
Alg1,2312.5,1845.5,2289,1819.5,1835.5,1876.5
Alg10b,3152,2915.5,3897.5,2794,2756,2877
Alg11,929,799,1127,877,1174,1098
Alg12,1219,914,1539,1302,2449,2375
Alg13,446,400.5,542,559,691,623
Alg14,631,554,700,546,458,492.5
Alg2,1181,918,1176,1068,1248,1159
Alg3,1101,560.33,1004,817.67,931.33,794
Alg5,2226.5,1823,2343,2014,2219,2048
Alg6,557,468,610,467,508,481
Alg8,1536,1001,1653,1022,1389,1407
Alg9,1745,1291,1983.5,1665,2088,1686
Alk,11,10,12,19,22,9.5
Alkal1,0.5,0,1.33,2.33,0,0.83
Alkal2,2.5,1.5,4.5,2.5,1,4.5
Alkbh1,664.5,541,865,1025.5,2049.5,1554.5
Alkbh2,295.5,177,253.5,145,126,127
Alkbh3,1133.5,925,1319,1005,1396.5,1687
Alkbh3os1,195.5,147,178.5,173,166.5,214.5
Alkbh4,634,497,625,281,363,384
Alkbh5,6657,5405,7092,7318,9213.5,8331.5
Alkbh6,720,523,725,705,983,849
Alkbh7,704,549,666,430,416,407.5
Alkbh8,651,604,837,514.5,673,747
Allc,2,0,0,1,5,0
Alms1,376,299,428,383,307,405
Alms1-ps2,2,0,1,0,0,0
Alox12,2.83,1.5,6.5,2,9,4.5
Alox12b,1,0.5,0,1.5,2,0
Alox12e,17,16.5,6,20,16,14
Alox15,162009.33,197845,84859.5,107814,75137.83,270202.5
Alox5,15829.5,13626.67,18460.83,13313.5,10282.33,16948.5
Alox5ap,64565,53535.83,69016.33,52222.33,47174.5,47345.17
Alox8,3,3,2,3,3,2
Aloxe3,38,20,66,40,104,28
Alpi,1,0,0,0,2,0
Alpk1,3241.33,3153,5499.83,5277.5,8990,8034
Alpk2,26.5,20,14,107.5,413.5,157.83
Alpk3,10.5,6,5.5,5.33,5.5,8
Alpl,6,6,2.5,6,7,2
Alppl2,0.5,0.5,1,1,1,1
Als2,1620.5,1323.5,1901.5,1539.5,1924.5,2445.5
Als2cl,788,753,1183,609,573,1001
Altre,5.5,3.5,4.5,4,7,3.5
Alx1,0,1,0,0,0,2
Alx3,1,0,0,0,0,1
Alx4,4,3.33,0,4,5,2
Alyref,6280,4057,5131.5,5276,6007,4908
Alyref2,510,396,597,261,362,373
Amacr,402,320.5,338,215,209,395
Ambn,0,0,0,0,0,0
Ambp,269,154,472,194,994,261
Ambra1,3062.5,2655,4424.5,3085.5,3813,3613.5
Amd1,1105,994,1304,1174.5,1430.5,1136
Amd2,4,3,2,3,5,4
Amdhd1,10,14,15,14,9,13
Amdhd2,2371,1843,3134,2641,3038,2695.83
Amelx,0.5,0,0.5,0,0,0.5
Amer1,619,551,748,421,307,449
Amer2,9,0,14,10,26,2
Amer3,0,1,0,0,0,0
Amfr,12423,10908,14036,13559,13932.5,12184
Amh,25,12,20,30,57,39
Amhr2,12,13,16.5,7,12,16
Amigo1,622,544,656,369,477.5,465.5
Amigo2,605.17,496.5,231.67,246.83,136,387.17
Amigo3,164,135,165.5,116,121,104.5
Ammecr1,1195,909,1148,975,1088,1022.5
Ammecr1l,1863.5,1684,2648,2449,4081,3287.5
Amn,4.5,2.5,6.5,2,18.5,11
Amn1,326,346,513,356,778,650
Amot,216,195,256,243,147,290
Amotl1,133,138,113,80,87,253
Amotl2,106,136,189,102,119,105
Ampd1,1,2,2,2,12.5,5
Ampd2,5242,3590,5448,6920.5,8527,9780.5
Ampd3,5052,4032,6297.33,3011.33,3379,2970
Amph,2,4,2,2,4,3
Amt,138,133,296,81,169,174
Amtn,0,0,0,0,0,0
Amy1,6,14.5,8,6,7,18
Amy2a1,0,0,0,0,0,0
Amy2a2,0,0,0,0,0,0
Amy2a3,0,0,0,0,0,0
Amy2a4,0,0,0,0,0,0
Amy2a5,0,0,0,0,0,0
Amy2b,0,0,0,0,0,0
Amz1,991,824.5,962.5,1656.83,2327,2053
Amz2,2180,1985,2203,1907,2170,2005
Anapc1,6557.5,5622.5,8191.5,5580,5801,7185
Anapc10,496,382,473,417,540,508.5
Anapc11,4817,4396.5,4360.5,3410.5,3459,3698.5
Anapc13,2481,2235.5,2141.5,1964.5,1680.5,1782
Anapc15,1394.5,1057,1570.5,1050,987.5,975
Anapc16,1517,1341,1453,1195,1203,1201.5
Anapc2,8140,7108,9664.5,6297,6133,6880.5
Anapc4,2719,2303,3070,1702,1708,2030.5
Anapc5,14188,11798,14233,10941,10325,11906
Anapc7,2208,1817.5,2393.5,2038.5,2712.5,2415
Ang,150.5,147.5,506,180.5,174.33,81
Ang2,0,1,0,0,0,0
Ang4,0,0,0,0,0,0
Ang5,0,0,0,0,0,0
Ang6,0,0,0,0,0,0
Angel1,284.5,267.5,288,209,164.5,277
Angel2,3392,2977.5,4084.5,2646,2819.5,3090
Angpt1,11.5,10.5,1,17.5,12.5,22.5
Angpt2,14,9.5,5.5,24.5,45.5,31
Angpt4,13,20,24.5,12.5,11,23.5
Angptl1,10.5,8.5,6,4.5,9.5,4
Angptl2,145.5,58,137.5,56.5,53,58
Angptl3,21.5,12,25,18.5,9.5,22
Angptl4,121,63,174,42.5,56,77.5
Angptl6,185,180,170.5,130.5,115,212
Angptl7,1,1.5,2.5,1,1.5,3
Angptl8,12.5,13.5,11.5,2,3,9.5
Ank,16525.83,18928.5,16279,16718,12691.5,24123.5
Ank1,100.33,97.5,105,120,89.5,198.25
Ank2,216,227,257,233,287.5,281
Ank3,13.5,19.83,9.5,20,24,16.5
Ankar,0.5,0,2,1,3,0
Ankdd1a,39.5,52,97,51.5,91.5,122.5
Ankdd1b,43,32,47.5,22,24.5,31.5
Ankef1,0,0,0,1,0,1
Ankfn1,7,5,3,5,8,3
Ankfy1,10504.5,8914,12946,8985,9176.5,10077
Ankhd1,5337,4465,6667.5,6000,10558.5,10546.5
Ankib1,3528,3067.5,4531,3331.5,3903.5,3789.5
Ankk1,0,0,0,0,1,0
Ankle1,793.5,1017.5,1036,332,395,851
Ankle2,6836,6744,8811,5356.5,3241.5,4156.5
Ankmy1,23.5,9,22.5,21,20.5,14
Ankmy2,1356.5,1282.5,1593,626,383,581.5
Ankra2,1015,930,1144,771,869,885
Ankrd1,0,0,1,0,0,0
Ankrd10,2060.5,2013.5,2663,1687,2059.5,2676.5
Ankrd11,11966.5,10117.33,14013.83,13553.33,18783.83,17747.5
Ankrd12,1965,1895.5,2581.5,2309,4057,3678
Ankrd13a,14898.83,12618,18824.33,14114.5,15029,11388
Ankrd13b,622,565,950,531,586,403
Ankrd13c,3637,3249,4428,4856,5127.5,4501.5
Ankrd13d,637,603,987,552.5,639.5,589
Ankrd16,1498.5,1502.5,3125.5,1368,2248.5,2465.5
Ankrd17,6970,5768,8476.5,8007.5,10920.33,10960.5
Ankrd2,5,3,7.5,5,8,10
Ankrd22,7,1,3,3,11,3
Ankrd23,252.5,256,452,224.5,381.5,403
Ankrd24,223,215,240,156,198.5,289
Ankrd26,456.5,381,483,446,398,421
Ankrd27,2783.5,2639,3392.33,2490,2344,2850
Ankrd28,394,281,664,601.5,4656.17,1838.5
Ankrd29,38.5,31.33,24.5,27,20,49.5
Ankrd31,2,3,4,1,0,3.5
Ankrd33,0.5,0,0,0,0,0
Ankrd33b,5313.5,4580,4542.5,4764,9102,8168
Ankrd34a,4,4,18,3,3,4
Ankrd34b,2,0,3,1,3,0
Ankrd34c,4,1,6,7,1,2
Ankrd35,29,16,20,14,17,16.33
Ankrd36,8,2.5,1.5,5.5,8.5,1.5
Ankrd37,718.5,492,1057,253,299,369
Ankrd39,277.5,234,338,242.5,319.5,315
Ankrd40,4457,3755,5330,3759,3814,3783
Ankrd40cl,6,8,13,6,11,13
Ankrd42,180,150,156,108,95.5,155
Ankrd44,7879.5,8031,10697.5,8519,9883,10598.5
Ankrd45,0,0,0.33,1,1,1.5
Ankrd46,2352,2055,2393,1192,1094,1599.5
Ankrd49,1024,874,1210,870,1361,1017
Ankrd50,1636,1487,1924,1167,2048,2267
Ankrd52,6168.33,4627.5,9152,6320,8163,7537.5
Ankrd53,12,9,19,3,9,9
Ankrd54,1314,1078,1341.5,878,1026,957
Ankrd55,64,62,58,54.5,128,113
Ankrd6,9,3,14.5,7.5,11.5,11.5
Ankrd60,1,4,5,0,0,0
Ankrd61,15,22,39,11,34.5,31.5
Ankrd63,1,0,0,0,2,1
Ankrd65,0,0,0.5,0,0,0
Ankrd66,102,121,372,138,504,317
Ankrd7,13,13,23.5,6,34,36
Ankrd9,324,200,297,265,160,251.33
Anks1,8505.5,6616,9948.33,9932.5,9022.5,11173.5
Anks1b,38,29.5,13,23.5,49.5,23
Anks3,1422,1310,2279.5,1325.5,2069.83,2015.5
Anks4b,0,2,0,3,0,1
Anks6,175,166,124,96,45,151
Ankub1,7,2,8,2,2,4
Ankzf1,1363.5,1140.5,1962.5,1041,1476.5,1295
Anln,3319,2867,3073,1775.5,1611.5,3449
Ano1,4,4,1.5,11,5,14.5
Ano10,1445,1322,1681,1361,1182.5,1426
Ano2,55,18.5,22,9,56.5,43
Ano3,3,3,0,1,5,3
Ano4,6,6,0,7,5.5,4
Ano5,0,1.5,0,1,4,0
Ano6,14182.5,12943,16717,14516,14325,17531.75
Ano7,15.5,12,16,14,8,7.5
Ano8,1814.5,1502,2059,1543.5,1413.5,1483.5
Ano9,1,1,1,3,1,0
Anp32a,18603,15635.5,17365.83,12092.5,9847.5,9091.5
Anp32b,12743,10190.5,10636.83,7762,7667,7924.83
Anp32e,9704.5,7623.5,8140,6852,6963,7077.5
Anpep,6664,4644,8913,5994,6517,10120.33
Antkmt,2319,1954.5,2578,1926,1749.5,1708.5
Antxr1,16.5,13,13.5,21.5,33.5,13.33
Antxr2,3190,2891.5,3617.5,2862.5,6351.5,3598
Antxrl,0,1,0,0,1,0.5
Anxa1,20522,16555,22894,12859,15766,13725
Anxa10,1,1,0,2,2,1
Anxa11,10064,7216,11551.5,9809.5,13006,10834.5
Anxa13,0.5,0.5,0.5,1.5,0,1
Anxa2,61601,39335.5,75022,32889.5,48158.5,25681.5
Anxa2r1,3055.08,2855.25,4360.75,2763,4476.5,3074.58
Anxa2r2,29,21.5,41.5,18.5,27.5,29
Anxa3,17896,14349,23762,16603,14291,14254.5
Anxa4,10349,7494.5,11598.5,9475,10105,9882
Anxa5,16924,14290,23265,23279.5,27571,17961
Anxa6,17993.5,15896,19482,13484.83,10897,14376
Anxa7,12576,9795,13903.5,9887,13279.5,10667.33
Anxa8,3.5,0,2.5,2,2.5,1.83
Anxa9,509,436.5,728,488.33,717.5,818.17
Aoah,2274,2272.5,3591,3581,5491,3035
Aoc1,2,2.5,0,0,3.5,0
Aoc1l1,0,0,0,0,0,0
Aoc1l2,0,0,0,0,0,0
Aoc1l3,0,0,0,0,0,1
Aoc2,138,131,242,233,600,427
Aoc3,0,1,1,1,4,2
Aopep,1076,904.17,1689.67,1082.67,2606.33,2559.17
Aox1,4,10,14,7,7,11
Aox2,5.67,6,8.5,7,10,7
Aox3,4.33,7.83,2.5,5.5,5,5
Aox4,0.33,0.33,3,2,1,1
Ap1ar,2493,1983,2595,2206.5,2703,2188.5
Ap1b1,6325.5,4763,9985.33,6935,6174.5,4598
Ap1g1,4720.33,3901.83,5922.33,4633.67,5657.17,5843
Ap1g2,4198.5,3118,4692.5,3231,2986.5,3391.5
Ap1m1,8587.67,7076.5,9458.5,7065,7295,8165.5
Ap1m2,36,20,23.83,33,53,40
Ap1s1,8567,5529,9323,6066,6485,5129
Ap1s2,7339,7222.5,9272,7543.5,7184,6246
Ap1s3,217,204,164,172,134,151
Ap2a1,4684.83,3662,5875.5,4233,4900.5,5152.5
Ap2a2,21993,17687,30500.5,20673.5,21238.33,14427.5
Ap2b1,14839.67,12375.5,18808.67,14322,16959.08,15838.83
Ap2m1,15667,11299.5,18868.5,11393,12627,10483
Ap2s1,11115,8177,11452,8671,8376,6720.5
Ap3b1,11176,8944.5,11990.5,9392,10188,9566
Ap3b2,1,0,2,1,1,4
Ap3d1,13068.5,10225.5,16910.5,13599,18400,18334
Ap3m1,4536,3513.5,5332.5,3507,3552,3545
Ap3m2,1423.5,1492.5,1499.5,924,848.5,1174.5
Ap3s1,2266,1738,2793,2366,3470,2661
Ap3s2,2326,1914.5,2466.5,1662.5,1417,1644
Ap4b1,1351.33,1255,1616.67,1455.83,2551,1757.33
Ap4e1,1296,1174.5,1602,1285,1678,1808.5
Ap4m1,1969,1681,2541,1166,978.5,1133.5
Ap4s1,1345,1201.5,1356,1497,1564,1595.5
Ap5b1,2060,1447,2640,1422,1693.5,1650.5
Ap5m1,1396,1218,1751.5,1389,1262,1394.5
Ap5s1,1703.5,1501,2031,1176,644,1139
Ap5z1,2255,1864.5,3556,1868,2875.33,2541
Apaf1,6715,5736,9134,7535,10395,7227
Apba1,2937.33,2959.67,3822,3170,2393.17,2399
Apba2,4,4,1,8,8,1
Apba3,2013,1434.5,2559,1904,2313.5,2106
Apbb1,394,493,332,268,98,442
