gene,SRR16936780,SRR16936781,SRR16936782,SRR16936792,SRR16936793,SRR16936794
1500015A07Rik,94,76,76,56,94,48
1500015L24Rik,0,0,1,0,0,0
1500026H17Rik,9,10,16,9,6,10
1500035N22Rik,0,0,0,0,0,0
1600002D24Rik,1,0,0,0,0,1
1600010M07Rik,221,227,257,126,151,140
1600012H06Rik,2666,1867,2102,1824,1888,1764
1600012P17Rik,0,0,0,0,0,0
1600014C10Rik,1883,1471,1703,1189,1364,1025
1600014C23Rik,0,0,2,2,3,2
1600015H23Rik,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0
1600020E01Rik,101,71,94,39,68,75
1600023N17Rik,0,0,0,3,0,3
1600025M17Rik,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0
1700001G11Rik,16,7,0,2,5,4
1700001G17Rik,0,0,2,2,1,1
1700001J03Rik,23,14,14,7,27,21
1700001J04Rik,0,0,0,0,0,0
1700001J11Rik,0,2,0,0,0,0
1700001K19Rik,0,0,0,1,0,0
1700001K23Rik,0,0,0,0,0,0
1700001L05Rik,217,138,175,173,200,142
1700001O22Rik,0,0,0,0,0,0
1700003C15Rik,0,0,0,0,0,0
1700003D09Rik,1,0,0,0,1,1
1700003E16Rik,3,2,8,9,10,1
1700003E24Rik,0,0,0,0,0,0
1700003F12Rik,79,91,117,37,48,25
1700003G18Rik,1,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,1
1700003I22Rik,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0
1700003M07Rik,54,30,64,93,125,107
1700003P14Rik,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0
1700006J14Rik,1,3,0,0,1,0
1700007E05Rik,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0
1700007J10Rik,0,1,0,2,0,1
1700007L15Rik,67,64,90,80,67,62
1700007P06Rik,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0
1700008J07Rik,93,94,88,48,58,49
1700008K24Rik,0,0,0,0,0,0
1700008O03Rik,16,4,11,6,3,3
1700008P02Rik,0,0,0,0,0,0
1700009C05Rik,1,0,1,0,0,0
1700009J07Rik,0,0,0,0,0,0
1700009N14Rik,5,0,0,2,0,0
1700010B08Rik,0,0,0,1,0,0
1700010D01Rik,0,0,0,0,0,0
1700010G06Rik,1,7,1,3,0,0
1700010H22Rik,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0
1700010I14Rik,193,151,188,125,143,141
1700010J16Rik,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0
1700010L04Rik,2,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0
1700011B04Rik,1,0,0,0,0,2
1700011C11Rik,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0
1700012B09Rik,2,0,3,14,8,6
1700012C14Rik,0,0,0,0,0,0
1700012D01Rik,40,34,24,22,30,21
1700012D16Rik,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,1,0,0,0
1700013N06Rik,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0
1700015C15Rik,0,4,0,0,0,0
1700015I17Rik,0,0,0,0,0,0
1700016A09Rik,91,62,73,33,41,33
1700016B01Rik,0,0,0,0,0,0
1700016C19Rik,0,0,0,0,0,0
1700016G22Rik,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,1
1700016J18Rik,1,0,2,4,1,3
1700016K05Rik,0,0,0,1,0,0
1700016L04Rik,0,0,1,0,0,0
1700016L21Rik,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0
1700017B05Rik,11398,9604,11502,8237,9191,7830
1700017G19Rik,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0
1700017M07Rik,0,0,1,1,1,3
1700017N19Rik,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0
1700018A23Rik,0,0,1,0,0,1
1700018B08Rik,2,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0
1700018L02Rik,17,24,19,9,10,6
1700019A02Rik,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0
1700019D03Rik,0,0,0,0,0,0
1700019E08Rik,1,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0
1700019J19Rik,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0
1700020D12Rik,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0
1700020G03Rik,0,0,0,1,0,0
1700020G17Rik,0,0,0,0,0,0
1700020L13Rik,3,10,11,7,17,15
1700020L24Rik,10,6,16,4,34,15
1700020M21Rik,0,0,0,0,0,0
1700020N01Rik,4,10,4,1,6,0
1700020N15Rik,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0
1700021N21Rik,8,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0
1700022N22Rik,17,6,38,33,32,24
1700023A20Rik,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0
1700023D09Rik,14,16,8,23,21,19
1700023F02Rik,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,960,480,628,424,352,246
1700025H01Rik,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,2,0
1700025N21Rik,0,0,0,0,0,0
1700025N23Rik,0,1,0,0,1,1
1700025O08Rik,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,3
1700028B04Rik,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0
1700028E10Rik,13,18,21,12,7,15
1700028I16Rik,4,2,5,16,11,7
1700028J19Rik,23,19,20,16,18,12
1700028K03Rik,3,0,0,0,1,0
1700028M03Rik,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0
1700029H14Rik,5,0,3,2,0,1
1700029J03Rik,0,0,0,0,0,0
1700029M03Rik,0,0,0,0,0,0
1700029M20Rik,0,0,2,0,0,0
1700029N11Rik,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0
1700030C10Rik,4,16,17,11,5,7
1700030C12Rik,1,0,0,0,0,1
1700030C14Rik,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0
1700030J22Rik,94,117,96,60,53,34
1700030K09Rik,382,338,430,370,387,269
1700030L20Rik,0,0,0,0,0,0
1700030L22Rik,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0
1700034H15Rik,29,29,24,28,35,26
1700034J05Rik,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0
1700034P13Rik,7,5,11,8,9,6
1700036A12Rik,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0
1700037C18Rik,30,47,16,24,23,28
1700037F03Rik,1,3,1,4,5,4
1700039E22Rik,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,1
1700039M10Rik,1,0,0,0,0,1
1700039O17Rik,0,0,0,0,0,0
1700040D17Rik,1,4,5,0,0,3
1700040F15Rik,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0
1700040P09Rik,0,0,0,0,0,0
1700041A01Rik,0,0,0,0,1,0
1700041B01Rik,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0
1700041G16Rik,8,1,1,1,12,0
1700041I07Rik,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,1,0
1700042O10Rik,0,1,0,0,0,1
1700044C05Rik,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0
1700047E10Rik,0,0,0,0,0,0
1700047F07Rik,2,0,1,0,0,0
1700047G03Rik,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,0
1700047M11Rik,11,18,19,5,3,4
1700048B10Rik,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0
1700048O14Rik,0,0,0,0,0,0
1700048O20Rik,8,0,0,8,4,0
1700049E15Rik,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0
1700051K13Rik,2,0,0,0,0,0
1700052H01Rik,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,168,114,132,148,117,126
1700054A03Rik,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0
1700054M17Rik,0,0,3,0,0,1
1700054O19Rik,1,0,0,0,0,1
1700055C04Rik,0,0,0,0,0,0
1700055D16Rik,1,9,1,3,0,0
1700055D18Rik,9,8,14,32,26,14
1700055K11Rik,0,0,0,0,0,0
1700055L01Rik,0,0,0,0,0,0
1700056E22Rik,7,6,9,4,13,5
1700057H15Rik,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0
1700060C20Rik,2,0,0,0,0,0
1700060J05Rik,1,0,6,0,3,1
1700061F12Rik,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0
1700062C10Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0
1700064M15Rik,4,1,2,3,0,1
1700065D16Rik,0,0,2,0,0,0
1700065I16Rik,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0
1700066B17Rik,0,0,0,2,0,0
1700066C05Rik,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0
1700066M21Rik,635,495,568,492,507,430
1700066N21Rik,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0
1700067K01Rik,24,10,24,9,15,15
1700067P10Rik,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0
1700071M16Rik,6,2,0,10,6,4
1700072B07Rik,0,0,0,0,0,0
1700072F12Rik,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0
1700073E17Rik,0,0,1,0,0,0
1700074H08Rik,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0,0
1700080G11Rik,2,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,0,0,1,1,2,0
1700083H02Rik,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0
1700084E18Rik,11,4,6,6,5,1
1700084F23Rik,0,0,0,0,0,0
1700084J12Rik,0,1,2,0,0,1
1700084M14Rik,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0
1700086O06Rik,58,48,79,43,49,40
1700086P04Rik,0,3,19,3,4,9
1700087M22Rik,0,0,0,0,0,0
1700088E04Rik,25,24,17,19,9,13
1700091H14Rik,0,0,0,0,0,0
1700091J24Rik,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0
1700093K21Rik,0,1,0,0,1,1
1700094J05Rik,5,6,0,2,0,0
1700094M23Rik,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0
1700095J07Rik,0,0,0,0,0,0
1700095J12Rik,0,0,0,0,0,0
1700095K22Rik,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0
1700096K18Rik,140,97,87,34,53,32
1700096P03Rik,0,0,0,0,0,0
1700097N02Rik,0,0,0,0,0,0
1700099I09Rik,19,17,17,27,27,17
1700100I10Rik,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0
1700101I11Rik,12,4,10,7,15,7
1700101O22Rik,0,0,0,0,0,0
1700102H20Rik,0,2,2,2,0,1
1700102J08Rik,0,0,0,0,0,0
1700102P08Rik,27,16,20,22,8,17
1700104B16Rik,0,0,0,0,0,1
1700104L18Rik,0,0,0,0,0,0
1700105F02Rik,0,0,0,0,0,0
1700105P06Rik,0,5,0,2,1,0
1700108F19Rik,0,0,0,0,0,0
1700108I11Rik,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0
1700108N06Rik,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0
1700109H08Rik,29,19,37,25,38,18
1700109I08Rik,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0
1700110C19Rik,5,5,11,6,11,5
1700110I01Rik,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0
1700110K17Rik,5,6,15,6,12,2
1700111N16Rik,0,0,0,0,0,0
1700112D23Rik,0,0,0,0,1,2
1700112H15Rik,1,8,11,6,5,4
1700112J05Rik,0,0,0,0,0,0
1700112J16Rik,0,1,0,1,0,1
1700112M02Rik,0,0,0,0,0,0
1700112N08Rik,0,0,0,0,0,0
1700113A16Rik,18,22,13,8,14,9
1700113B09Rik,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0
1700116H05Rik,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0
1700120B22Rik,3,2,3,1,5,3
1700120C14Rik,13,17,10,11,9,11
1700120E14Rik,0,0,0,0,0,0
1700120G07Rik,0,0,0,0,0,0
1700120K04Rik,0,1,0,0,2,0
1700121C08Rik,0,0,0,0,0,0
1700121C10Rik,0,0,2,0,0,0
1700121L16Rik,0,0,0,0,0,0
1700121M21Rik,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0
1700122E12Rik,7,6,7,3,3,3
1700122H20Rik,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0
1700123J17Rik,0,0,4,0,0,2
1700123K08Rik,0,0,0,0,0,0
1700123M08Rik,62,33,42,18,40,36
1700123O12Rik,0,0,0,0,0,0
1700123O20Rik,1620,1146,1480,1291,1375,1147
1700123O21Rik,0,0,0,0,0,0
1700124L16Rik,1,4,1,1,0,0
1700124M09Rik,0,0,0,0,0,2
1700125G02Rik,0,0,0,0,0,0
1700125G22Rik,0,1,0,0,0,0
1700125H03Rik,0,0,0,0,0,0
1700126A01Rik,0,0,0,0,0,0
1700126G02Rik,0,1,0,0,0,0
1700126H18Rik,0,0,0,0,0,0
1700127F24Rik,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0
1700128E19Rik,0,0,0,0,0,0
1700128F08Rik,0,0,1,0,0,0
1700129C05Rik,0,0,0,0,0,0
1810006J02Rik,2,0,3,2,2,4
1810007C17Rik,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0
1810008I18Rik,0,0,0,0,0,0
1810009A15Rik,4,0,0,0,0,1
1810009J06Rik,0,0,0,0,0,0
1810010H24Rik,16,26,17,18,10,5
1810010K12Rik,0,0,0,0,0,0
1810012K16Rik,1,0,5,0,1,2
1810013A23Rik,13,2,13,2,4,3
1810013D15Rik,0,0,0,0,0,0
1810014B01Rik,123,120,110,84,82,62
1810018F18Rik,0,0,0,0,0,0
1810019D21Rik,3,3,4,0,4,7
1810019N24Rik,5,6,6,5,1,4
1810021B22Rik,109,75,93,40,52,47
1810021M19Rik,0,0,2,0,0,0
1810024B03Rik,75,77,107,54,54,54
1810030O07Rik,3585,2816,3047,2763,3162,2675
1810034E14Rik,173,208,275,160,135,121
1810035K13Rik,0,0,0,0,0,0
1810037I17Rik,2541,1859,2280,2443,2498,1986
1810041H14Rik,6,3,0,4,0,5
1810044D09Rik,72,50,52,20,26,23
1810049I09Rik,0,0,0,0,0,0
1810053B23Rik,0,0,0,0,0,0
1810055G02Rik,493,409,485,555,588,412
1810062G17Rik,4,9,3,2,1,4
1810062O18Rik,21,15,38,21,31,20
1810063I02Rik,0,0,0,0,0,0
1810064F22Rik,0,0,0,0,0,0
1810065E05Rik,0,0,0,0,0,0
1810073O08Rik,0,0,0,0,0,0
2010001A14Rik,156,95,120,122,146,95
2010001M07Rik,0,0,0,0,0,0
2010003K11Rik,0,0,0,0,0,1
2010004M13Rik,275,144,219,70,72,30
2010009K17Rik,0,0,0,0,0,0
2010010A06Rik,0,0,0,0,0,0
2010016I18Rik,6,13,12,11,4,9
2010103J01Rik,0,0,0,0,0,0
2010106C02Rik,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0
2010109A12Rik,8,7,10,12,7,4
2010109P13Rik,0,0,0,0,0,0
2010110K18Rik,13,1,6,2,11,2
2010203P06Rik,0,0,1,0,0,0
2010204K13Rik,27,21,29,22,13,17
2010308F09Rik,0,0,0,1,0,0
2010310C07Rik,0,1,0,2,3,2
2010315B03Rik,795,680,633,625,769,670
2010320M18Rik,279,206,170,96,129,86
2010320O07Rik,2,0,0,0,2,0
2200002D01Rik,7,7,12,5,9,6
2200002J24Rik,0,0,0,0,0,0
2210011K15Rik,0,0,0,0,0,0
2210016L21Rik,1367,1140,1292,1218,1351,1052
2210039B01Rik,0,0,0,0,0,0
2210404E10Rik,0,0,0,0,0,0
2210406O10Rik,1,0,0,0,0,1
2210408F21Rik,300,282,291,292,290,247
2210408I21Rik,173,174,195,159,157,158
2210409D07Rik,0,0,0,0,0,0
2210409E12Rik,0,0,0,0,0,0
2210414B05Rik,1,0,5,3,8,1
2210416O15Rik,0,0,0,1,0,0
2210417A02Rik,1,3,2,6,1,3
2210418O10Rik,5,1,4,3,3,3
2210420H20Rik,0,0,0,0,0,0
2300002M23Rik,0,0,0,0,0,0
2300003K06Rik,0,0,0,0,0,0
2300009A05Rik,263,195,246,170,205,164
2310001H17Rik,182,146,182,152,195,191
2310001K24Rik,0,0,0,0,0,0
2310002D06Rik,0,0,0,0,0,0
2310002F09Rik,0,0,0,0,0,0
2310002L09Rik,0,0,0,0,0,0
2310003N18Rik,0,0,0,0,0,0
2310005A03Rik,0,0,0,0,0,1
2310005E17Rik,0,0,0,0,0,0
2310008N11Rik,2,0,0,0,0,0
2310009B15Rik,287,174,209,210,213,224
2310010J17Rik,61,65,58,40,48,34
2310011J03Rik,3095,2207,2966,2984,3160,2406
2310015A10Rik,371,290,300,229,235,219
2310015A16Rik,0,0,0,0,0,0
2310015D24Rik,0,0,0,0,0,0
2310015K22Rik,0,0,0,0,0,0
2310016D03Rik,0,0,0,0,0,0
2310016D23Rik,5,5,9,1,1,0
2310016G11Rik,0,0,0,0,0,0
2310020H05Rik,0,0,0,0,0,0
2310022A10Rik,2518,2161,2539,1974,2106,1806
2310022B05Rik,1219,852,1082,1009,1021,811
2310026I22Rik,0,0,0,0,0,0
2310030A07Rik,0,0,0,0,0,0
2310030G06Rik,0,0,0,0,0,0
2310033P09Rik,915,786,876,912,975,781
2310034C09Rik,0,0,0,0,0,0
2310034G01Rik,18,5,5,4,4,4
2310034O05Rik,1,0,0,0,0,0
2310039H08Rik,248,242,282,218,190,153
2310039L15Rik,0,0,0,0,0,0
2310040G24Rik,159,105,129,70,79,69
2310043L19Rik,0,0,0,0,0,0
2310043M15Rik,2,5,4,1,1,1
2310043O21Rik,0,0,0,0,0,0
2310047D07Rik,19,11,12,7,9,5
2310047K21Rik,85,73,62,35,37,46
2310057J18Rik,0,0,0,0,0,0
2310057M21Rik,500,412,461,395,494,375
2310057N15Rik,0,0,0,0,0,0
2310058D17Rik,52,70,54,91,58,48
2310058N22Rik,77,94,109,89,76,78
2310061I04Rik,699,593,769,712,749,606
2310061N02Rik,0,0,0,0,0,0
2310065F04Rik,0,0,0,0,0,0
2310067E19Rik,0,0,0,0,0,0
2310068J16Rik,19,14,4,15,6,4
2310069B03Rik,19,25,26,42,58,34
2310069G16Rik,0,0,0,0,1,0
2310075C17Rik,0,0,0,0,0,0
2310075K07Rik,43,30,34,13,12,16
2310079G19Rik,0,0,0,0,0,0
2310081J21Rik,0,0,0,0,0,0
2400006E01Rik,0,0,0,0,0,0
2410002F23Rik,1111,772,1055,1075,992,916
2410003I16Rik,0,0,0,0,4,0
2410003L11Rik,7,11,5,3,8,4
2410004B18Rik,1040,713,908,892,924,756
2410004I01Rik,0,0,0,0,0,0
2410004P03Rik,18,14,12,16,7,7
2410006H16Rik,1116,801,1030,384,417,329
2410012E07Rik,0,0,0,0,0,0
2410017I17Rik,0,0,0,0,0,0
2410018L13Rik,0,0,1,3,1,0
2410021H03Rik,0,0,0,0,1,0
2410022M11Rik,202,118,175,96,93,94
2410080I02Rik,0,2,1,0,2,3
2410124H12Rik,0,0,0,0,0,0
2410137M14Rik,0,0,0,0,0,0
2500002B13Rik,41,30,41,60,50,62
2500004C02Rik,88,61,73,32,45,53
2510002D24Rik,264,197,223,166,171,145
2510003B16Rik,8,14,14,12,24,14
2510009E07Rik,12411,10208,10881,10964,12585,10135
2510022D24Rik,946,621,956,770,900,737
2510039O18Rik,8010,5745,7264,6079,6650,5323
2600006K01Rik,5,14,28,6,0,9
2600014E21Rik,0,0,0,0,0,0
2610005L07Rik,641,552,661,522,670,502
2610008E11Rik,438,382,334,286,317,319
2610016A17Rik,0,0,0,0,0,0
2610017A05Rik,5,2,5,2,6,0
2610020C07Rik,8,4,8,13,4,10
2610024D14Rik,7,0,3,10,4,2
2610027F03Rik,0,0,0,0,0,0
2610027K06Rik,0,0,1,0,0,0
2610028E06Rik,0,0,0,0,0,0
2610028H24Rik,0,0,0,0,0,4
2610029K11Rik,77,39,63,17,40,20
2610035D17Rik,238,170,177,98,66,74
2610035F20Rik,0,0,0,0,0,0
2610037D02Rik,0,0,0,0,1,3
2610042L04Rik,0,0,0,0,0,0
2610203C22Rik,82,50,52,55,37,43
2610206C17Rik,3,3,3,1,4,1
2610300M13Rik,2,0,0,0,0,1
2610306M01Rik,123,92,88,50,54,38
2610307P16Rik,8,1,0,10,9,3
2610316D01Rik,0,0,0,0,0,0
2610318M16Rik,1,0,0,0,0,0
2610318N02Rik,97,41,100,79,63,50
2610507I01Rik,1211,930,1007,441,497,392
2610524H06Rik,351,247,253,176,202,150
2610528J11Rik,0,0,0,0,0,0
2700003A03Rik,0,0,0,0,0,0
2700012I20Rik,44,16,16,16,22,13
2700038G22Rik,57,19,45,32,45,34
2700046A07Rik,0,0,0,0,0,0
2700049A03Rik,572,413,454,321,284,265
