gene,SRR13422665,SRR13422666,SRR13422667,SRR13422668,SRR13422669,SRR13422670,SRR13422671,SRR13422672
1700003I22Rik,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0
1700003M07Rik,0,1,0,8,1,0,0,1
1700003P14Rik,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0
1700006J14Rik,17,5,5,4,17,15,6,28
1700007E05Rik,0,0,2,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0
1700007J10Rik,0,0,0,0,0,1,1,0
1700007L15Rik,33,39,12,19,11,35,9,41
1700007P06Rik,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0
1700008J07Rik,102,33,45,118,60,82,60,109
1700008K24Rik,0,0,0,0,0,0,0,0
1700008O03Rik,6,0,1,1,0,0,0,7
1700008P02Rik,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0
1700009N14Rik,0,3,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0
1700010G06Rik,0,0,0,2,0,0,1,1
1700010H22Rik,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0
1700010I14Rik,69,41,44,75,46,72,44,98
1700010J16Rik,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0
1700010L04Rik,2,1,0,0,3,0,3,6
1700010N08Rik,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,5,0,0,0,0,0
1700012D01Rik,51,33,25,71,42,27,19,69
1700012D16Rik,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,3,0
1700013G24Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0
1700015C15Rik,0,0,0,0,0,0,1,0
1700015I17Rik,0,0,0,0,0,0,0,0
1700016A09Rik,16,8,8,1,1,5,2,9
1700016B01Rik,0,0,0,0,0,0,0,0
1700016C19Rik,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,0,0,1
1700016J18Rik,5,0,1,0,0,5,0,5
1700016K05Rik,0,0,0,0,0,0,0,0
1700016L04Rik,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0
1700017B05Rik,854,840,733,1145,1307,1614,827,1691
1700017G19Rik,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,2,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0
1700017M07Rik,0,0,0,0,0,0,2,0
1700017N19Rik,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0
1700018A23Rik,0,0,0,0,0,2,0,0
1700018B08Rik,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,4
1700018L02Rik,23,22,9,25,11,0,6,1
1700019A02Rik,0,0,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0,0,0
1700019D03Rik,9,0,0,0,0,0,1,0
1700019E08Rik,0,0,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0
1700019J19Rik,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0
1700020D12Rik,0,0,0,0,0,0,0,0
1700020D14Rik,0,0,0,0,0,0,0,0
1700020G03Rik,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0
1700020L13Rik,0,0,0,0,1,0,0,0
1700020L24Rik,5,7,2,9,1,3,0,4
1700020M21Rik,0,0,0,0,0,0,0,0
1700020N01Rik,0,17,0,0,0,3,3,3
1700020N15Rik,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0
1700021G15Rik,0,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0
1700022N22Rik,0,7,10,9,5,0,4,2
1700023A20Rik,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0
1700023D09Rik,6,4,15,11,12,11,9,12
1700023F02Rik,0,0,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0
1700025G04Rik,356,185,239,255,189,315,173,316
1700025H01Rik,0,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0,0
1700025K04Rik,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0
1700025N21Rik,139,112,92,137,85,102,106,128
1700025N23Rik,0,0,0,2,0,0,0,2
1700025O08Rik,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0
1700026J12Rik,4,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,2,0,0
1700027F06Rik,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,3
1700027H10Rik,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,1,0,0,0
1700028B04Rik,0,1,0,1,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,3,0
1700028E10Rik,6,6,6,7,2,5,5,9
1700028I16Rik,0,0,0,7,7,0,0,0
1700028J19Rik,4,5,1,8,3,3,10,19
1700028K03Rik,4,0,5,0,0,0,0,0
1700028M03Rik,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,2
1700029H14Rik,0,0,0,0,0,0,0,0
1700029J03Rik,0,0,0,0,0,0,0,0
1700029M03Rik,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0
1700030C10Rik,29,20,14,21,28,16,17,15
1700030C12Rik,0,0,0,0,0,0,3,0
1700030C14Rik,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0,0
1700030J22Rik,19,30,16,42,27,53,27,53
1700030K09Rik,44,43,40,63,35,89,59,52
1700030L20Rik,0,0,0,0,0,0,0,0
1700030L22Rik,0,1,0,1,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0
1700034H15Rik,0,0,3,22,4,0,1,0
1700034J05Rik,0,0,5,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0,0,1,0,0
1700036A12Rik,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0
1700037C18Rik,14,7,13,24,24,18,16,36
1700037F03Rik,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0,0,0
1700039M10Rik,0,0,0,1,0,3,6,10
1700039O17Rik,0,0,0,0,0,0,0,0
1700040D17Rik,8,3,4,0,9,12,8,3
1700040F15Rik,0,0,0,0,0,0,0,0
1700040G22Rik,0,0,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0,0,0
1700040P09Rik,0,0,0,0,0,0,0,0
1700041A01Rik,0,0,0,0,0,0,0,0
1700041B01Rik,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0
1700041G16Rik,4,5,23,26,3,27,3,12
1700041I07Rik,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,1,0,0,3
1700042O10Rik,0,0,0,0,2,8,1,5
1700044C05Rik,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0,0
1700047E10Rik,0,0,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,0,0,0
1700047G03Rik,1,2,0,0,3,0,0,4
1700047L14Rik,0,0,0,0,0,0,0,0
1700047M11Rik,161,173,119,206,58,32,26,144
1700048B10Rik,0,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0,0,0
1700048M11Rik,0,0,0,0,0,0,0,0
1700048O14Rik,0,0,0,0,0,0,0,0
1700048O20Rik,4,6,2,8,0,9,11,22
1700049E15Rik,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0
1700051K13Rik,0,0,0,0,0,0,0,0
1700052H01Rik,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0
1700052K11Rik,23,67,52,62,21,31,65,62
1700054A03Rik,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0
1700054O19Rik,3,0,2,0,1,2,5,4
1700055C04Rik,0,0,0,0,0,0,0,0
1700055D16Rik,0,0,0,0,0,0,0,0
1700055D18Rik,19,30,13,36,28,13,8,19
1700055K11Rik,0,0,0,0,0,0,0,0
1700055L01Rik,0,0,0,0,0,0,0,0
1700056E22Rik,20,8,11,2,0,2,6,2
1700057H15Rik,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,1,0,0,0,0,0
1700060J05Rik,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,6,0,0,0,0
1700062C10Rik,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0
1700064F23Rik,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0
1700064M15Rik,0,3,0,5,0,0,0,3
1700065D16Rik,0,0,0,1,0,0,0,2
1700065I16Rik,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0
1700066C05Rik,1,0,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0,0,0
1700066M21Rik,130,122,67,135,166,316,125,261
1700066N21Rik,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0
1700067K01Rik,0,0,2,3,0,5,2,0
1700067P10Rik,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,1,0,0
1700071G01Rik,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0
1700071M16Rik,0,0,0,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0,0
1700072F12Rik,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0
1700073E17Rik,7,0,2,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0
1700080F18Rik,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0
1700082M22Rik,0,2,0,2,6,2,0,1
1700083H02Rik,0,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0,0,0
1700084E18Rik,6,8,5,17,7,6,6,0
1700084F23Rik,0,0,0,0,0,0,0,0
1700084J12Rik,1,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0,0,0
1700086O06Rik,14,28,22,44,25,52,17,46
1700086P04Rik,10,15,8,2,5,27,8,7
1700087M22Rik,0,0,0,0,0,0,0,0
1700088E04Rik,0,0,7,12,6,11,2,16
1700091H14Rik,0,0,0,0,0,0,0,0
1700091J24Rik,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,2,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0
1700093K21Rik,0,0,0,0,1,1,0,0
1700094J05Rik,0,0,0,0,0,0,0,0
1700094M23Rik,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0,0
1700095J07Rik,4,2,1,7,6,4,8,5
1700095J12Rik,0,0,0,0,0,0,0,0
1700095K22Rik,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0
1700096K18Rik,223,120,134,147,112,164,103,206
1700096P03Rik,0,0,0,0,0,0,0,0
1700097N02Rik,0,0,0,5,1,0,0,1
1700099I09Rik,6,5,1,6,0,0,1,4
1700100I10Rik,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0
1700101I11Rik,18,20,16,9,20,29,7,2
1700101O22Rik,0,0,0,0,0,0,0,0
1700102H20Rik,0,1,4,3,0,26,7,8
1700102J08Rik,0,0,0,0,0,0,0,0
1700102P08Rik,17,7,9,9,17,11,8,17
1700104B16Rik,0,0,0,0,0,0,0,1
1700104L18Rik,0,0,0,0,0,0,0,0
1700105F02Rik,0,0,3,0,0,0,0,0
1700105P06Rik,0,0,0,0,2,0,0,3
1700108F19Rik,0,0,0,0,2,0,0,0
1700108I11Rik,0,0,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0,0,0
1700108N06Rik,0,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0,0
1700109H08Rik,24,28,19,29,36,13,15,24
1700109I08Rik,0,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0,0,0
1700110C19Rik,0,0,0,0,0,0,0,0
1700110I01Rik,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0,0
1700110K17Rik,0,0,1,0,0,0,2,0
1700111N16Rik,0,0,0,0,0,0,0,0
1700112D23Rik,5,0,0,0,0,0,1,0
1700112H15Rik,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0
1700112J16Rik,0,1,0,0,0,4,1,0
1700112M02Rik,0,0,0,0,0,0,0,0
1700112N08Rik,0,0,0,0,0,0,0,0
1700113A16Rik,1,16,11,13,6,5,3,3
1700113B09Rik,0,0,0,0,4,0,0,0
1700113H08Rik,0,0,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0,0,0
1700116H05Rik,0,0,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0
1700120B22Rik,3,0,0,0,0,0,0,3
1700120C14Rik,4,9,1,10,1,1,0,1
1700120E14Rik,0,0,0,2,0,0,0,0
1700120G07Rik,0,0,0,0,0,0,0,0
1700120K04Rik,0,0,0,0,0,0,0,0
1700121C08Rik,0,0,0,0,0,0,0,0
1700121C10Rik,0,0,0,0,0,4,3,4
1700121L16Rik,0,0,0,0,0,0,0,0
1700121M21Rik,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0,0
1700122E12Rik,0,0,7,0,0,0,0,0
1700122H20Rik,0,0,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0,0,0
1700123J17Rik,0,0,0,0,0,0,0,0
1700123K08Rik,0,0,0,2,0,0,0,0
1700123M08Rik,9,10,5,10,3,13,1,19
1700123O12Rik,0,0,0,0,0,0,0,0
1700123O20Rik,699,611,503,839,625,971,648,953
1700123O21Rik,0,0,0,0,0,0,0,0
1700124L16Rik,0,1,1,2,0,4,0,0
1700124M09Rik,0,0,0,0,0,0,0,0
1700125G02Rik,0,0,0,0,0,0,0,0
1700125G22Rik,0,0,0,0,0,0,1,0
1700125H03Rik,0,0,0,0,0,0,0,0
1700126A01Rik,0,0,0,0,0,0,0,0
1700126G02Rik,0,0,0,0,0,0,0,0
1700126H18Rik,0,0,0,0,0,0,0,0
1700127F24Rik,2,0,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0,0,0
1700128E19Rik,0,0,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0,0,0
1810006J02Rik,0,0,0,0,0,0,1,0
1810007C17Rik,0,0,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0,0,0
1810008I18Rik,0,0,0,0,0,0,0,0
1810009A15Rik,0,0,0,0,0,0,0,0
1810009J06Rik,0,0,0,0,0,0,0,0
1810010H24Rik,2,3,9,24,4,5,6,8
1810010K12Rik,0,0,0,0,0,0,0,0
1810012K16Rik,0,0,0,6,0,0,0,4
1810013A23Rik,0,0,0,0,0,0,0,0
1810013D15Rik,0,0,0,0,0,0,0,0
1810014B01Rik,69,99,82,138,88,161,114,154
1810018F18Rik,0,0,0,0,0,0,0,0
1810019D21Rik,0,16,4,8,0,5,3,4
1810019N24Rik,16,5,10,1,2,13,0,6
1810021B22Rik,54,57,55,69,34,67,30,67
1810021M19Rik,6,4,0,3,1,1,0,4
1810024B03Rik,14,22,9,29,13,31,15,34
1810030O07Rik,1863,1865,1632,1950,1915,3180,1602,2597
1810034E14Rik,76,81,52,91,60,95,63,78
1810035K13Rik,0,0,0,0,0,0,0,0
1810037I17Rik,1066,909,931,1410,1241,2235,1099,2036
1810041H14Rik,0,0,4,0,12,10,6,6
1810044D09Rik,40,16,22,27,17,24,28,45
1810049I09Rik,0,0,0,0,0,0,0,0
1810053B23Rik,0,0,0,0,0,0,0,0
1810055G02Rik,22,51,45,46,21,68,26,117
1810062G17Rik,0,0,0,15,0,1,0,1
1810062O18Rik,22,8,10,34,27,11,9,23
1810063I02Rik,0,0,0,0,0,0,0,0
1810064F22Rik,0,0,0,0,0,0,1,0
1810065E05Rik,0,0,0,0,0,0,0,0
1810073O08Rik,0,0,0,0,0,0,0,0
2010001A14Rik,47,30,20,32,18,54,36,24
2010001M07Rik,0,0,0,0,0,0,0,0
2010003K11Rik,0,0,0,0,0,0,0,0
2010004M13Rik,168,93,136,191,124,184,127,217
2010009K17Rik,0,0,0,0,0,0,0,0
2010010A06Rik,0,0,0,0,0,0,0,0
2010016I18Rik,15,18,4,12,0,6,5,5
2010103J01Rik,0,0,0,0,0,0,0,0
2010106C02Rik,0,0,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0,0,0
2010109A12Rik,10,0,2,0,2,0,2,2
2010109P13Rik,0,0,0,0,0,0,0,0
2010110K18Rik,3,0,2,0,3,4,0,3
2010203P06Rik,0,0,0,0,0,0,0,0
2010204K13Rik,46,24,23,27,47,54,17,43
2010308F09Rik,0,0,0,0,0,0,0,0
2010310C07Rik,0,0,0,0,0,0,0,0
2010315B03Rik,273,215,260,380,269,364,279,535
2010320M18Rik,212,139,123,145,142,250,101,179
2010320O07Rik,8,0,6,13,1,0,0,1
2200002D01Rik,1,10,5,10,21,8,1,19
2200002J24Rik,0,1,0,1,3,0,3,3
2210011K15Rik,0,0,0,0,0,0,0,0
2210016L21Rik,313,326,279,390,288,440,311,417
2210039B01Rik,11,0,0,0,0,0,0,0
2210404E10Rik,0,0,0,0,0,0,0,0
2210406O10Rik,4,17,10,25,11,7,6,24
2210408F21Rik,404,381,393,502,412,510,244,449
2210408I21Rik,28,36,38,28,52,50,45,80
2210409D07Rik,0,0,0,0,0,0,0,0
2210409E12Rik,0,0,0,0,0,0,0,0
2210414B05Rik,7,0,0,0,0,0,0,1
2210416O15Rik,3,0,0,0,0,0,0,1
2210417A02Rik,27,6,7,17,5,25,10,22
2210418O10Rik,1,0,1,0,1,0,0,0
2210420H20Rik,0,0,0,0,0,0,0,0
2300002M23Rik,0,0,0,0,0,0,0,0
2300003K06Rik,0,0,0,0,0,0,0,0
2300009A05Rik,507,404,359,565,309,533,297,509
2310001H17Rik,107,78,101,192,86,70,72,127
2310001K24Rik,0,0,0,0,0,0,2,0
2310002D06Rik,0,0,0,0,0,3,0,0
2310002F09Rik,0,0,0,0,0,0,0,0
2310002L09Rik,0,0,0,0,0,3,0,0
